CODIGO OFICINA;DENOMINACION OFICINA;CODIGO CECO;CODIGO OFICINA DIRECTA;CODIGO OFICINA DELEGADA;CODIGO DT;DENOMINACION DT;CODIGO DGT;DENOMINACION DGT;CODIGO SUBCENTRAL;DENOMINACION SUBCENTRAL;CLAVE DE PRODUCCION;CODIGO TIPO OFICINA;DENOMINACION TIPO DE OFICINA;CODIGO TIPO VIA;DENOMINACION TIPO VIA;DENOMINACION VIA;NUMERO VIA;COMPLEMENTO DENOMINACION VIA;CODIGO POSTAL;CODIGO PROVINCIA;DENOMINACION PROVINCIA;CODIGO LOCALIDAD;DENOMINACION LOCALIDAD;TELEFONOS OFICINA1;TELEFONOS OFICINA2;TELEFONOS OFICINA3;FAX OFICINA;EMAIL OFICINA;HORARIO_NORMAL_W;HORARIO_NORMAL_V;IND_HORARIO_NORMAL_S;HORARIO_NORMAL_S;HORARIO_VERANO_W;HORARIO_VERANO_V;IND_HORARIO_VERANO_S;HORARIO_VERANO_S;PERIODO_VERANO_S_N;PERIODO_INICIO_VERANO;PERIODO_FIN_VERANO;HORARIO_OBSERVACIONES;HORARIO_OBSERVACIONES_VERANO;CODIGO DEL RESPONSABLE;NOMBRE DEL RESPONSABLE;NUUMA RESPONSABLE;PERFIL RESPONSABLE;EMAIL RESPONSABLE;CODIGO DEL RESPONSABLE2;NOMBRE DEL RESPONSABLE2;NUUMA RESPONSABLE2;PERFIL RESPONSABLE2;EMAIL RESPONSABLE2;NOMBRE_MIEMBRO1;NUUMA_MIEMBRO1;PERFIL_MIEMBRO1;EMAIL_MIEMBRO1;NOMBRE_MIEMBRO2;NUUMA_MIEMBRO2;PERFIL_MIEMBRO2;EMAIL_MIEMBRO2;NOMBRE_MIEMBRO3;NUUMA_MIEMBRO3;PERFIL_MIEMBRO3;EMAIL_MIEMBRO3;NOMBRE_MIEMBRO4;NUUMA_MIEMBRO4;PERFIL_MIEMBRO4;EMAIL_MIEMBRO4;NOMBRE_MIEMBRO5;NUUMA_MIEMBRO5;PERFIL_MIEMBRO5;EMAIL_MIEMBRO5
L10015;VENDREL, EL - CRA. VALLS;7978;4316;7978;43;CATALUÑA SUR;02;CATALUÑA-BALEARES;43;CATALUÑA SUR;5231928;OFICINAS TRADICIONALES;DELEGADA;;;CRA. VALLS;1;;43700;43;TARRAGONA;43700;EL VENDRELL;977662903;;;977667041;MERCAA@mapfre.com;09:00 14:00 16:00 19:00;09:00 14:00 16:00 19:00;; ;08:00 15:00  ;08:00 15:00  ;; ;S;01-JUL-2020;31-AGO-2020;;;23108;MERCADER I SALA ASSOCIATS S.L  ;;Responsable;;;;;Responsable2;;HELENA CALMET CAÑELLAS;HCALMET;NO TITULAR;hcalmet@mapfre.com;VANESSA CURADO MATEOS;VCURADO;NO TITULAR;VCURADO@mapfre.com;MARIA CASELLAS MATA;CASELL3;NO TITULAR;diserra@mapfre.com;MARIA DOLORS JIMENEZ SERRANO;JIMENMD;NO TITULAR;JIMENMD@mapfre.com;;;;
L10015;VENDREL, EL - CRA. VALLS;7978;4316;7978;43;CATALUÑA SUR;02;CATALUÑA-BALEARES;43;CATALUÑA SUR;5231928;OFICINAS TRADICIONALES;DELEGADA;;;CRA. VALLS;1;;43700;43;TARRAGONA;43700;EL VENDRELL;977662903;;;977667041;MERCAA@mapfre.com;09:00 14:00 16:00 19:00;09:00 14:00 16:00 19:00;; ;08:00 15:00  ;08:00 15:00  ;; ;S;01-JUL-2020;31-AGO-2020;;;42371;ANNA MERCADER SALA;MERCAA;Responsable;MERCAA@MAPFRE.COM;;;;Responsable2;;HELENA CALMET CAÑELLAS;HCALMET;NO TITULAR;hcalmet@mapfre.com;VANESSA CURADO MATEOS;VCURADO;NO TITULAR;VCURADO@mapfre.com;MARIA CASELLAS MATA;CASELL3;NO TITULAR;diserra@mapfre.com;MARIA DOLORS JIMENEZ SERRANO;JIMENMD;NO TITULAR;JIMENMD@mapfre.com;;;;
L10035;COSLADA - Bº DEL PUERTO;6135;6211;6135;66;MADRID-ESTE;01;MADRID;66;MADRID-ESTE;5231935;OFICINAS TRADICIONALES;DELEGADA;;;OCEANO ATLANTICO;6;LOCAL 1 (ENTRADA C/ MAR CANTABRICO;28821;28;MADRID;28821;COSLADA;916722319;;;916695856;amorill@mapfre.com;09:30 14:00 17:00 20:00;09:30 14:00 17:00 20:00;; ;09:30 14:30  ;09:30 14:30  ;; ;S;01-AGO-2016;31-AGO-2016;;;343;ALBERTO MORILLAS GOMEZ;AMORILL;Responsable;amorill@mapfre.com;;;;Responsable2;;DANIEL GARCIA TAMUREJO;GTDANI2;NO TITULAR;gtdani2@mapfre.com;SUSANA DEL PILAR CARRERO MARTINEZ;SPCARRE;NO TITULAR;spcarre@mapfre.com;DOMINGO GARRON DIAZ;DGARRON;NO TITULAR;DGARRON@mapfre.com;;;;;;;;
L10035;COSLADA - Bº DEL PUERTO;6135;6211;6135;66;MADRID-ESTE;01;MADRID;66;MADRID-ESTE;5231935;OFICINAS TRADICIONALES;DELEGADA;;;OCEANO ATLANTICO;6;LOCAL 1 (ENTRADA C/ MAR CANTABRICO;28821;28;MADRID;28821;COSLADA;916722319;;;916695856;amorill@mapfre.com;09:30 14:00 17:00 20:00;09:30 14:00 17:00 20:00;; ;09:30 14:30  ;09:30 14:30  ;; ;S;01-AGO-2016;31-AGO-2016;;;66940;ALBERTO MORILLAS MEDIACION DE SEGUROS, S .L. ;;Responsable;;;;;Responsable2;;DANIEL GARCIA TAMUREJO;GTDANI2;NO TITULAR;gtdani2@mapfre.com;SUSANA DEL PILAR CARRERO MARTINEZ;SPCARRE;NO TITULAR;spcarre@mapfre.com;DOMINGO GARRON DIAZ;DGARRON;NO TITULAR;DGARRON@mapfre.com;;;;;;;;
L10055;TORREJON ARDOZ - LOS FRESNOS;6240;6211;6240;66;MADRID-ESTE;01;MADRID;66;MADRID-ESTE;5231934;OFICINAS TRADICIONALES;DELEGADA;AVD;AVENIDA;LOS FRESNOS;6;;28850;28;MADRID;28850;TORREJON DE ARDOZ;916558709;;666404864;916783896;jcerrat@mapfre.com;09:00 14:00 17:00 20:00;09:00 14:00 17:00 20:00;; ;08:00 14:00  ;08:00 14:00  ;; ;S;01-AGO-2018;31-AGO-2018;;;12454;JOSE PABLO CERRATO TAMUREJO;JCERRAT;Responsable;jcerrat@mapfre.com;;;;Responsable2;;SONIA GOMEZ BERMEJO;SGOMEZB;NO TITULAR;sgomezb@mapfre.com;LORENA MARTINEZ DIEZ;MDLORE1;NO TITULAR;mdlore1@mapfre.com;NATALIA VILLALBA IRULA;NATVILL;NO TITULAR;NATVILL@mapfre.com;;;;;;;;
L10055;TORREJON ARDOZ - LOS FRESNOS;6240;6211;6240;66;MADRID-ESTE;01;MADRID;66;MADRID-ESTE;5231934;OFICINAS TRADICIONALES;DELEGADA;AVD;AVENIDA;LOS FRESNOS;6;;28850;28;MADRID;28850;TORREJON DE ARDOZ;916558709;;666404864;916783896;jcerrat@mapfre.com;09:00 14:00 17:00 20:00;09:00 14:00 17:00 20:00;; ;08:00 14:00  ;08:00 14:00  ;; ;S;01-AGO-2018;31-AGO-2018;;;66936;MEDIACION DE SEGUROS JOYMAL S L  ;;Responsable;;;;;Responsable2;;SONIA GOMEZ BERMEJO;SGOMEZB;NO TITULAR;sgomezb@mapfre.com;LORENA MARTINEZ DIEZ;MDLORE1;NO TITULAR;mdlore1@mapfre.com;NATALIA VILLALBA IRULA;NATVILL;NO TITULAR;NATVILL@mapfre.com;;;;;;;;
L10075;SEVILLA LA NUEVA - Urb. GENERAL ASENSIO;3551;1151;3551;62;MADRID-OESTE;01;MADRID;62;MADRID-OESTE;5271766;OFICINAS TRADICIONALES;DELEGADA;PZA;PLAZA;DE LOS ARCOS;2;;28609;28;MADRID;28609;SEVILLA LA NUEVA;918128234;;;918128258;GGMANU3@mapfre.com;09:00 14:00 16:00 19:00;09:00 14:00 16:00 19:00;; ;09:00 14:00  ;09:00 14:00  ;; ;S;01-AGO-2020;31-AGO-2020;;;277527;MANUEL GUILLEN GRANDE;GGMANU3;Responsable;GGMANU3@mapfre.com;;;;Responsable2;;MANUEL DE TORRES MESA;TMMANUE;NO TITULAR;TMMANUE@mapfre.com;ELIA DELGADO SANCHEZ;ELIADEL;NO TITULAR;ELIADEL@MAPFRE.COM;;;;;;;;;;;;
L10095;BARBERA DEL VALLES - DR. MORAGAS;5453;1920;5453;54;CATALUÑA NORTE;02;CATALUÑA-BALEARES;54;CATALUÑA NORTE;5269218;OFICINAS TRADICIONALES;DELEGADA;CL;CALLE;DOCTOR MORAGAS;264;;08210;08;BARCELONA;08210;BARBERA DEL VALLES;937479560;;617443257;;EVABARD@MAPFRE.COM;09:00 13:30 16:30 19:30;09:00 13:30 16:30 19:30;; ;   ;   ;; ;N;;;;;292649;EVA BARDI CASULLERAS;EVABARD;Responsable;EVABARD@mapfre.com;;;;Responsable2;;INMA PEREZ COBO;INMAPER;NO TITULAR;INMAPER@mapfre.com;;;;;;;;;;;;;;;;
L10135;ALMERIA - DE LAS NEGRAS;7238;0401;7238;18;GRANADA-ALMERIA;08;SUR;18;GRANADA-ALMERIA;5231988;OFICINAS TRADICIONALES;DELEGADA;CL;CALLE;DE LAS NEGRAS;19;CAMPOHERMOSO;04110;04;ALMERIA;04110;NIJAR;950386084;;;;fegeani@mapfre.com;09:30 14:00 17:00 20:00;09:30 14:00 17:00 20:00;; ;09:30 14:30  ;09:30 14:30  ;; ;S;01-AGO-2016;31-AGO-2016;;;67147;FINANCIAL EGEA RODRIGUEZ Y SEGUROS S.L.   ;;Responsable;;;;;Responsable2;;DAVID  EGEA RODRIGUEZ;DAEGEA;NO TITULAR;DAEGEA@mapfre.com;;;;;;;;;;;;;;;;
L10135;ALMERIA - DE LAS NEGRAS;7238;0401;7238;18;GRANADA-ALMERIA;08;SUR;18;GRANADA-ALMERIA;5231988;OFICINAS TRADICIONALES;DELEGADA;CL;CALLE;DE LAS NEGRAS;19;CAMPOHERMOSO;04110;04;ALMERIA;04110;NIJAR;950386084;;;;fegeani@mapfre.com;09:30 14:00 17:00 20:00;09:30 14:00 17:00 20:00;; ;09:30 14:30  ;09:30 14:30  ;; ;S;01-AGO-2016;31-AGO-2016;;;101263;JUAN MIGUEL EGEA RODRIGUEZ;JUEGEA;Responsable;JUEGEA@MAPFRE.COM;;;;Responsable2;;DAVID  EGEA RODRIGUEZ;DAEGEA;NO TITULAR;DAEGEA@mapfre.com;;;;;;;;;;;;;;;;
